id,niveau,matieres_preferees,mathematiques,physique,chimie,informatique,francais,anglais,biologie,economie,gestion,histoire_geographie,droit,technique,competences,centres_interet,activites_projets,preferences_professionnelles,environnement_travail,parcours_recommande
417,Baccalauréat D,Chimie;Mathématiques;Biologie,19.17,0,12.0,0,11.08,8.46,17.7,14.63,0,8.51,0,0,Gestion d'exploitation,Agriculture;Business;Environnement,Création d'un projet agricole;Projet d'élevage;Projet personnel,Entrepreneur;Manager,Travail en équipe;Terrain;Entreprise,AEE
418,Baccalauréat S,Mathématiques;Chimie;Biologie,13.98,0,10.87,0,0,14.94,13.59,0,8.59,9.95,0,0,Agri-business;Élevage;Gestion d'exploitation,Business;Environnement;Agriculture;Sciences,Projet d'élevage;Projet de culture agricole;Projet personnel,Agronome,Travail en équipe;Terrain,AEE
419,Baccalauréat C,Chimie;Mathématiques;Biologie;Anglais;Économie,13.93,0,13.68,12.1,0,0,13.06,9.27,0,8.19,14.46,10.26,Agri-business;Élevage;Gestion d'exploitation;Analyse des systèmes,Agriculture,Projet d'élevage;Création d'un projet agricole,Entrepreneur;Manager,Travail en équipe;Entreprise,AEE
420,Baccalauréat S,Biologie;Mathématiques;Chimie,13.03,9.95,12.88,12.71,10.18,9.49,13.14,0,0,12.55,10.57,10.97,Techniques agricoles;Agri-business,Agriculture,Projet d'élevage;Projet de culture agricole,Agronome,Entreprise;Travail en équipe;Terrain,AEE
421,Baccalauréat C,Chimie;Mathématiques;Biologie;Économie,19.49,9.77,17.79,0,8.97,0,14.72,0,0,0,12.63,12.6,Agri-business;Élevage;Technologies minières,Business;Agriculture;Environnement;Santé,Projet de culture agricole;Projet d'élevage,Manager,Travail en équipe;Entreprise;Terrain,AEE
422,Bac+1,Chimie;Mathématiques;Français;Informatique,18.59,0,15.64,10.3,0,10.69,15.4,0,8.08,12.53,0,8.51,Élevage;Gestion d'exploitation;Techniques agricoles,Business,Projet de culture agricole,Manager,Entreprise;Travail en équipe,AEE
423,Baccalauréat Technique,Biologie;Mathématiques;Chimie,19.37,0,16.21,0,0,0,13.19,10.07,11.1,9.78,0,15.08,Élevage;Techniques agricoles,Business,Projet de culture agricole;Participation à une association,Agronome;Entrepreneur,Terrain;Travail en équipe;Entreprise,AEE
424,Baccalauréat Technique,Chimie;Mathématiques;Biologie;Gestion;Français,14.68,0,16.44,0,13.3,0,15.63,15.95,14.73,9.83,0,0,Élevage;Marketing,Environnement;Business;Agriculture,Projet d'élevage;Projet de culture agricole;Projet scolaire,Manager,Terrain;Environnement international,AEE
425,Baccalauréat Technique,Biologie;Chimie,12.37,11.75,13.52,0,11.65,0,13.92,11.83,0,0,15.19,10.22,Élevage;Techniques agricoles;Art culinaire,Business,Projet d'élevage;Projet de culture agricole,Entrepreneur,Terrain;Environnement industriel,AEE
426,Bac+1,Chimie;Biologie;Informatique;Technique,14.57,10.99,16.59,14.65,0,0,18.69,0,0,0,0,0,Techniques agricoles;Gestion d'exploitation,Agriculture;Environnement;Business,Création d'un projet agricole,Agronome;Entrepreneur,Travail en équipe;Terrain;Environnement international,AEE
427,Bac+2,Chimie;Mathématiques;Biologie;Technique,18.75,9.98,12.34,0,0,0,10.98,0,11.66,0,10.77,0,Techniques agricoles;Gestion d'exploitation,Environnement,Projet d'élevage;Projet de culture agricole,Manager;Architecte,Travail en équipe;Entreprise;Terrain;Laboratoire,AEE
428,Bac+1,Mathématiques;Biologie,19.69,0,14.01,8.17,0,8.9,14.11,0,15.03,15.66,0,0,Élevage;Conception,Environnement;Business,Projet d'élevage,Manager;Entrepreneur;Ingénieur,Terrain;Environnement international,AEE
429,Bac+3,Chimie;Mathématiques;Biologie,16.1,0,15.79,0,13.08,15.58,15.01,9.48,0,0,0,10.87,Techniques agricoles,Environnement;Agriculture;Tourisme,Projet de culture agricole,Agronome,Terrain,AEE
430,Baccalauréat C,Biologie;Chimie;Mathématiques,14.89,0,12.5,0,0,0,13.84,14.11,11.45,13.31,0,13.35,Techniques agricoles;Agri-business;Analyse scientifique,Business,Projet de culture agricole,Manager,Travail en équipe;Bureau,AEE
431,Baccalauréat D,Biologie;Mathématiques,17.17,10.98,12.88,12.0,15.15,12.66,14.36,0,15.91,0,0,0,Agri-business;Maintenance industrielle,Environnement;Business;Intelligence artificielle,Création d'un projet agricole;Projet d'élevage,Entrepreneur;Manager,Travail en équipe,AEE
432,Baccalauréat Technique,Mathématiques;Biologie,16.25,8.6,12.47,10.27,0,0,15.28,0,0,0,0,0,Techniques agricoles,Environnement;Agriculture;Business,Création d'un projet agricole;Projet de culture agricole,Agronome,Terrain,AEE
433,Baccalauréat Technique,Mathématiques;Biologie;Chimie,11.94,9.29,14.47,8.77,8.37,0,15.61,0,0,10.84,0,0,Élevage;Gestion d'exploitation;Techniques agricoles;Gestion de projets de construction,Business;Environnement;Agriculture,Projet de culture agricole;Création d'un projet agricole;Projet personnel,Manager,Travail en équipe;Terrain,AEE
434,Baccalauréat D,Chimie;Biologie;Mathématiques,19.64,0,17.96,11.64,12.42,0,15.03,13.31,0,9.8,0,12.32,Élevage;Agri-business;Techniques agricoles,Business;Agriculture;Environnement,Projet d'élevage,Entrepreneur;Manager;Agronome,Travail en équipe;Entreprise,AEE
435,Bac+1,Chimie;Biologie,15.99,9.02,17.94,15.35,0,12.75,15.88,13.54,11.98,0,13.73,0,Agri-business;Élevage;Gestion d'exploitation,Business;Environnement,Création d'un projet agricole;Projet de culture agricole;Participation à une association,Entrepreneur,Travail en équipe;Terrain;Entreprise,AEE
436,Bac+2,Chimie;Mathématiques;Biologie,18.42,0,15.65,0,12.94,15.91,15.27,0,8.17,14.25,0,0,Gestion d'exploitation;Agri-business,Business;Environnement;Agriculture,Création d'un projet agricole,Agronome;Entrepreneur,Entreprise;Travail en équipe,AEE
437,Bac+1,Mathématiques;Chimie,14.4,14.34,13.88,0,0,9.37,19.45,9.12,0,10.32,0,14.72,Gestion d'exploitation,Environnement;Agriculture,Création d'un projet agricole,Manager,Entreprise;Travail en équipe,AEE
438,Bac+3,Chimie;Mathématiques;Informatique;Droit,16.51,9.2,19.31,0,9.7,0,17.74,12.74,0,0,0,15.75,Agri-business;Élevage;Comptabilité,Agriculture;Environnement;Business,Création d'un projet agricole,Manager;Entrepreneur,Entreprise,AEE
439,Baccalauréat S,Biologie;Chimie,12.9,0,11.51,15.6,12.81,0,13.59,11.38,0,15.33,15.52,14.3,Techniques agricoles,Business;Environnement,Projet d'élevage,Agronome,Terrain,AEE
440,Bac+1,Biologie;Mathématiques,12.93,0,13.12,0,9.78,9.37,18.77,0,11.91,9.1,10.78,13.61,Techniques agricoles;Agri-business;Gestion d'exploitation,Agriculture;Business;Environnement,Projet de culture agricole;Création d'un projet agricole,Entrepreneur;Agronome,Travail en équipe;Terrain,AEE
441,Bac+1,Technique;Informatique;Physique;Biologie;Français,15.65,15.68,15.82,13.62,8.53,8.42,0,10.47,11.59,11.77,0,15.44,Automatisation,Informatique;Sciences;Technologie,Projet de robotique industrielle;Maintenance d'une machine,Ingénieur;Technicien,Atelier;Travail en équipe;Environnement industriel,EMII
442,Baccalauréat S,Mathématiques;Informatique;Technique;Physique,16.46,11.32,0,15.83,15.49,0,0,0,0,0,9.39,14.14,Informatique industrielle;Maintenance industrielle,Sciences;Intelligence artificielle,Maintenance d'une machine;Projet d'automatisation industrielle,Technicien,Travail en équipe;Atelier;Bureau,EMII
443,Baccalauréat D,Informatique;Mathématiques;Physique;Droit,12.68,18.65,0,16.58,0,14.51,12.84,11.01,0,15.25,12.7,13.65,Maintenance industrielle;Prise de décision,Sciences;Informatique;Technologie,Projet d'automatisation industrielle,Ingénieur,Travail en équipe;Environnement industriel;Atelier,EMII
444,Bac+3,Technique;Physique;Informatique;Mathématiques,19.41,15.75,9.37,17.13,0,0,0,0,0,12.15,12.74,11.4,Informatique industrielle;Automatisation;Maintenance industrielle,Informatique;Technologie,Projet de robotique industrielle;Maintenance d'une machine;Participation à une association,Technicien;Ingénieur,Atelier;Environnement industriel,EMII
445,Bac+2,Informatique;Technique,17.23,13.52,0,15.61,9.97,0,0,0,15.33,0,0,13.71,Électromécanique;Maintenance industrielle;Informatique industrielle,Sciences,Maintenance d'une machine;Projet de robotique industrielle,Ingénieur;Technicien,Atelier;Environnement industriel;Travail en équipe,EMII
446,Baccalauréat D,Physique;Mathématiques;Informatique;Français;Technique,17.0,11.6,0,13.33,0,14.93,9.95,12.59,0,12.28,12.02,12.01,Électromécanique;Rédaction,Technologie;Sciences;Finance,Projet de robotique industrielle;Maintenance d'une machine,Technicien;Data Scientist,Travail en équipe;Environnement industriel;Atelier,EMII
447,Baccalauréat S,Mathématiques;Technique;Informatique;Physique,20,16.99,15.65,13.81,0,0,0,11.9,10.77,0,10.32,15.41,Électromécanique,Sciences,Projet de robotique industrielle;Projet d'automatisation industrielle,Technicien;Ingénieur;Commercial,Atelier;Travail en équipe,EMII
448,Bac+2,Mathématiques;Technique;Physique,16.88,17.21,0,15.93,0,14.63,10.99,9.51,0,11.92,10.11,13.86,Maintenance industrielle;Communication touristique,Sciences;Informatique;Technologie,Projet d'automatisation industrielle,Ingénieur,Atelier;Environnement industriel;Travail en équipe,EMII
449,Baccalauréat Technique,Mathématiques;Technique;Informatique;Physique,15.83,15.73,10.56,16.27,0,0,0,0,0,11.93,0,15.43,Maintenance industrielle;Informatique industrielle,Informatique;Technologie;Droit,Projet d'automatisation industrielle,Technicien;Ingénieur,Travail en équipe,EMII
450,Baccalauréat D,Informatique;Physique;Mathématiques,13.79,16.43,15.61,14.87,0,0,9.02,10.12,8.32,13.24,14.96,18.12,Automatisation;Électromécanique;Informatique industrielle;Conception,Technologie;Informatique;Santé,Projet de robotique industrielle;Projet d'automatisation industrielle;Participation à une association,Ingénieur;Entrepreneur,Travail en équipe;Environnement industriel;Atelier,EMII
451,Bac+3,Technique;Informatique,13.45,14.03,10.05,17.43,10.99,0,0,0,8.11,0,0,14.82,Maintenance industrielle,Technologie;Informatique;Sciences,Projet de robotique industrielle;Maintenance d'une machine,Ingénieur;Technicien,Travail en équipe;Atelier;Entreprise,EMII
452,Bac+1,Mathématiques;Technique,15.96,14.64,11.27,13.4,11.81,8.48,0,15.64,0,14.39,11.69,14.64,Informatique industrielle;Maintenance industrielle;Automatisation;Communication,Sciences;Technologie;Informatique,Maintenance d'une machine;Projet de robotique industrielle;Projet scolaire,Technicien;Ingénieur,Environnement industriel;Bureau,EMII
453,Bac+2,Informatique;Mathématiques,13.67,16.55,10.41,19.33,10.88,11.18,9.45,0,8.66,0,0,14.06,Automatisation;Informatique industrielle,Technologie;Sciences,Projet d'automatisation industrielle;Projet personnel,Technicien;Ingénieur,Environnement industriel,EMII
454,Bac+1,Technique;Informatique;Mathématiques,15.28,15.18,0,13.82,8.85,0,15.44,0,0,11.44,0,19.12,Informatique industrielle;Électromécanique;Automatisation,Informatique;Sciences;Technologie;Intelligence artificielle,Projet de robotique industrielle,Technicien;Ingénieur,Travail en équipe;Atelier;Environnement industriel,EMII
455,Bac+2,Mathématiques;Technique;Droit,15.67,12.82,13.9,18.78,0,0,12.86,0,9.58,9.84,0,14.28,Électromécanique;Multimédia,Sciences;Informatique;Technologie,Projet d'automatisation industrielle,Ingénieur,Travail en équipe,EMII
456,Bac+3,Physique;Mathématiques;Informatique;Technique,14.58,12.59,14.35,18.94,0,0,0,12.17,0,0,10.02,12.45,Maintenance industrielle;Électromécanique;Informatique industrielle,Informatique,Projet d'automatisation industrielle;Maintenance d'une machine,Technicien;Data Scientist,Travail en équipe;Atelier,EMII
457,Bac+1,Informatique;Physique;Technique;Mathématiques,12.82,17.7,9.75,16.61,0,11.57,0,0,8.74,0,0,15.65,Automatisation;Agri-business,Informatique,Projet de robotique industrielle,Ingénieur;Technicien,Environnement industriel,EMII
458,Baccalauréat C,Technique;Physique;Informatique;Mathématiques,14.73,14.5,0,10.72,0,0,0,9.1,11.57,0,8.01,17.53,Automatisation,Sciences,Projet de robotique industrielle;Maintenance d'une machine,Ingénieur;Technicien,Environnement industriel,EMII
459,Baccalauréat Technique,Technique;Mathématiques,18.48,13.99,8.93,12.82,13.05,12.52,14.93,15.07,12.81,10.12,8.43,11.86,Informatique industrielle;Analyse financière,Informatique;Technologie;Sciences,Projet d'automatisation industrielle,Ingénieur;Technicien;Agronome,Environnement industriel;Travail en équipe;Atelier,EMII
460,Baccalauréat Technique,Technique;Mathématiques;Physique;Chimie;Biologie,17.95,17.76,13.07,16.65,8.7,10.93,0,0,0,0,14.76,13.13,Maintenance industrielle;Électromécanique,Technologie;Informatique;Sciences,Maintenance d'une machine,Technicien,Travail en équipe,EMII
461,Bac+2,Informatique;Physique;Technique;Mathématiques,12.0,19.52,0,14.91,0,0,0,11.74,9.28,9.66,11.3,19.22,Informatique industrielle;Électromécanique,Technologie,Projet de robotique industrielle;Maintenance d'une machine;Projet personnel,Technicien;Ingénieur,Atelier,EMII
462,Bac+3,Technique;Informatique;Physique;Français,11.9,17.75,0,11.08,0,0,0,0,9.17,14.86,10.45,14.66,Électromécanique;Automatisation;Management,Informatique;Sciences,Maintenance d'une machine;Projet d'automatisation industrielle,Technicien,Atelier;Entreprise,EMII
463,Bac+3,Technique;Mathématiques;Physique;Français;Anglais,15.71,13.81,0,13.19,0,0,13.84,0,15.9,8.5,0,12.64,Maintenance industrielle;Informatique industrielle;Automatisation,Technologie;Intelligence artificielle,Projet de robotique industrielle;Projet personnel,Ingénieur;Technicien,Environnement industriel;Atelier;Travail en équipe,EMII
464,Bac+2,Physique;Informatique;Mathématiques,14.17,16.11,0,17.05,0,0,15.67,10.7,8.96,0,12.23,17.2,Maintenance industrielle;Électromécanique;Informatique industrielle,Technologie;Informatique;Sciences;Intelligence artificielle,Maintenance d'une machine;Projet personnel,Technicien,Atelier,EMII
465,Bac+3,Informatique;Physique;Technique;Mathématiques,15.4,15.21,0,13.84,0,10.29,13.78,0,0,0,0,10.95,Automatisation;Maintenance industrielle,Technologie,Projet de robotique industrielle,Technicien,Travail en équipe;Environnement industriel,EMII
466,Baccalauréat D,Technique;Physique;Informatique;Économie,13.19,13.31,0,18.73,0,0,8.44,11.25,9.16,11.84,9.58,14.51,Automatisation;Maintenance industrielle;Électromécanique,Informatique;Technologie;Sciences,Projet d'automatisation industrielle;Maintenance d'une machine,Ingénieur;Architecte,Environnement industriel;Atelier;Travail en équipe,EMII
467,Bac+3,Physique;Mathématiques,15.5,17.8,0,16.01,0,14.94,0,10.48,8.03,8.95,0,17.37,Informatique industrielle,Sciences;Technologie;Informatique,Maintenance d'une machine;Projet de robotique industrielle;Projet scolaire,Technicien;Ingénieur,Atelier,EMII
468,Baccalauréat Technique,Informatique;Technique;Mathématiques;Physique,16.48,13.3,0,14.27,10.37,14.07,0,10.24,0,0,8.52,12.68,Informatique industrielle;Gestion d'exploitation,Informatique;Sciences,Maintenance d'une machine,Ingénieur;Data Scientist,Atelier;Travail en équipe,EMII
469,Baccalauréat Technique,Mathématiques;Physique;Technique,15.76,11.75,14.01,15.92,11.61,0,0,0,11.43,11.56,0,14.75,Électromécanique,Informatique,Maintenance d'une machine;Projet d'automatisation industrielle,Ingénieur;Technicien,Travail en équipe;Environnement industriel,EMII
470,Bac+3,Mathématiques;Physique;Technique;Informatique;Gestion;Histoire-Géographie,13.28,13.58,0,18.38,9.6,8.67,0,0,15.61,0,13.45,16.28,Informatique industrielle,Sciences;Informatique,Maintenance d'une machine,Ingénieur,Environnement industriel;Atelier;Travail en équipe,EMII
471,Bac+3,Physique;Informatique;Mathématiques;Anglais;Technique,16.32,14.05,0,17.91,0,0,0,9.32,0,15.06,10.31,16.84,Électromécanique;Maintenance industrielle;Informatique industrielle;Analyse juridique,Informatique;Technologie;Communication,Projet de robotique industrielle,Ingénieur;Technicien,Atelier;Environnement industriel,EMII
472,Bac+1,Mathématiques;Physique,17.24,18.72,0,15.2,0,14.23,0,0,0,9.59,14.68,15.23,Électromécanique;Maintenance industrielle,Technologie;Sciences,Projet de robotique industrielle;Projet d'automatisation industrielle,Technicien,Environnement industriel;Atelier;Terrain,EMII
473,Bac+2,Technique;Mathématiques;Informatique;Physique;Anglais;Histoire-Géographie,15.39,14.55,11.1,12.3,0,0,9.0,11.36,10.65,14.9,0,16.22,Informatique industrielle;Électromécanique;Automatisation;Technologies alimentaires,Informatique,Maintenance d'une machine;Projet de robotique industrielle,Technicien;Ingénieur,Atelier;Administration,EMII
474,Baccalauréat S,Mathématiques;Technique;Informatique;Physique,18.92,19.64,8.26,14.13,9.8,0,9.54,8.05,10.86,14.48,0,16.38,Maintenance industrielle,Technologie;Sciences;Informatique,Projet de robotique industrielle,Ingénieur;Technicien,Atelier,EMII
475,Baccalauréat S,Informatique;Mathématiques,14.45,12.7,0,17.04,15.73,10.16,12.64,10.67,0,15.0,0,11.06,Électromécanique,Technologie;Informatique,Projet d'automatisation industrielle;Maintenance d'une machine,Ingénieur,Environnement industriel;Atelier;Travail en équipe,EMII
476,Bac+3,Mathématiques;Technique;Informatique;Physique,14.67,15.49,11.39,17.84,14.82,0,11.06,0,8.2,0,14.47,11.39,Électromécanique;Automatisation;Informatique industrielle,Sciences;Communication,Projet de robotique industrielle,Technicien,Atelier;Environnement industriel,EMII
477,Bac+1,Mathématiques;Technique,14.79,14.13,0,16.42,12.84,13.54,9.05,0,0,14.55,0,17.2,Maintenance industrielle;Automatisation;Informatique industrielle,Sciences,Maintenance d'une machine;Projet de robotique industrielle,Ingénieur;Technicien,Travail en équipe,EMII
478,Bac+1,Technique;Mathématiques;Physique,16.4,15.25,11.47,12.68,0,0,12.22,13.91,14.2,0,0,14.69,Maintenance industrielle,Sciences;Informatique;Tourisme,Maintenance d'une machine,Technicien,Travail en équipe,EMII
479,Baccalauréat D,Physique;Mathématiques,10.53,14.38,0,14.57,0,9.38,12.71,9.44,14.81,9.3,0,13.09,Maintenance industrielle,Informatique;Sciences;Technologie;Santé,Projet de robotique industrielle,Technicien,Atelier;Environnement industriel,EMII
480,Baccalauréat D,Informatique;Physique,11.15,13.77,9.76,13.13,0,10.38,0,12.74,8.05,15.72,0,13.05,Automatisation,Technologie;Sciences,Maintenance d'une machine,Technicien,Travail en équipe;Environnement industriel;Atelier;Terrain,EMII
481,Bac+3,Mathématiques;Technique;Physique;Gestion,17.81,14.96,0,11.28,15.49,0,8.75,9.1,8.79,15.2,15.32,11.98,Gestion de projets de construction;Aménagement,Technologie;Environnement,Projet de construction d'un bâtiment,Manager,Terrain;Bureau,GCA
482,Bac+2,Mathématiques;Physique;Technique,17.24,14.54,9.46,0,9.75,14.17,11.97,10.76,0,0,0,13.48,Conception;Gestion de projets de construction;Construction,Technologie;Environnement,Projet de construction d'un bâtiment,Ingénieur,Bureau,GCA
483,Baccalauréat Technique,Mathématiques;Technique;Physique,15.3,15.16,0,8.73,0,14.24,0,0,14.25,0,13.38,12.5,Gestion de projets de construction;Aménagement;Conception;Informatique industrielle,Environnement;Technologie,Plan d'aménagement d'un espace;Projet de construction d'un bâtiment;Participation à une association,Ingénieur;Manager,Bureau;Terrain,GCA
